"","cat_a","cat_b","estado","canal","gec","lift"
"80","COLAS","SABORES","VDM Oriente","ON PREMISE","BRONCE",0.836699804644862
"81","AGUA SIN GAS","SABORES","VDM Oriente","ON PREMISE","BRONCE",0.856114549754787
"82","SABORES","AGUA SIN GAS","VDM Oriente","ON PREMISE","BRONCE",0.856114549754787
"83","COLAS","LÁCTEOS","VDM Oriente","ON PREMISE","BRONCE",1.02700638492532
"84","AGUA SIN GAS","LÁCTEOS","VDM Oriente","ON PREMISE","BRONCE",1.35186491483504
"85","AGUA SIN GAS","COLAS","VDM Oriente","ON PREMISE","BRONCE",1.43201606605375
"86","SABORES","SABORES","VDM Oriente","ON PREMISE","BRONCE",1.57968714051812
"87","COLAS","COLAS","VDM Oriente","ON PREMISE","BRONCE",1.65753752468158
"88","NARANJADAS Y BEBIDAS","SABORES","VDM Oriente","ON PREMISE","BRONCE",2.25128323455412
"89","AGUA SIN GAS","AGUA SIN GAS","VDM Oriente","ON PREMISE","BRONCE",2.69416993034873
"90","NARANJADAS Y BEBIDAS","NARANJADAS Y BEBIDAS","VDM Oriente","ON PREMISE","BRONCE",5.07820016249557
"91","LÁCTEOS","LÁCTEOS","VDM Oriente","ON PREMISE","BRONCE",9.0942053660968
"92","JUGOS Y NÉCTARES","TÉ","VDM Oriente","ON PREMISE","CUSTOMIZADO",0.577310928325815
"93","AGUA CON GAS","TÉ","VDM Oriente","ON PREMISE","CUSTOMIZADO",0.588871109738164
"94","JUGOS Y NÉCTARES","SABORES","VDM Oriente","ON PREMISE","CUSTOMIZADO",0.729658392893636
"95","AGUA CON GAS","SABORES","VDM Oriente","ON PREMISE","CUSTOMIZADO",0.8223543177308
"96","AGUA CON GAS","COLAS","VDM Oriente","ON PREMISE","CUSTOMIZADO",0.885592065444263
"97","COLAS","COLAS","VDM Oriente","ON PREMISE","CUSTOMIZADO",0.995894073352844
"98","AGUA SIN GAS","SABORES","VDM Oriente","ON PREMISE","CUSTOMIZADO",1.07936852162413
"99","AGUA CON GAS","AGUA CON GAS","VDM Oriente","ON PREMISE","CUSTOMIZADO",1.09226612345288
"100","AGUA SIN GAS","TÉ","VDM Oriente","ON PREMISE","CUSTOMIZADO",1.10154574796605
"101","AGUA CON GAS","AGUA SIN GAS","VDM Oriente","ON PREMISE","CUSTOMIZADO",1.13737172430373
"102","AGUA SIN GAS","AGUA CON GAS","VDM Oriente","ON PREMISE","CUSTOMIZADO",1.13737172430373
"103","COLAS","JUGOS Y NÉCTARES","VDM Oriente","ON PREMISE","CUSTOMIZADO",1.19014460208183
"104","AGUA SIN GAS","COLAS","VDM Oriente","ON PREMISE","CUSTOMIZADO",1.20712612851034
"105","COLAS","SABORES","VDM Oriente","ON PREMISE","CUSTOMIZADO",1.51140395038528
"106","AGUA SIN GAS","AGUA SIN GAS","VDM Oriente","ON PREMISE","CUSTOMIZADO",1.51464379309991
"107","AGUA SIN GAS","JUGOS Y NÉCTARES","VDM Oriente","ON PREMISE","CUSTOMIZADO",1.55143782906639
"108","COLAS","TÉ","VDM Oriente","ON PREMISE","CUSTOMIZADO",1.74772805837342
"109","AGUA CON GAS","JUGOS Y NÉCTARES","VDM Oriente","ON PREMISE","CUSTOMIZADO",2.20417641466688
"110","SABORES","SABORES","VDM Oriente","ON PREMISE","CUSTOMIZADO",2.55743046717516
"111","SABORES","TÉ","VDM Oriente","ON PREMISE","CUSTOMIZADO",3.92178849201978
"112","TÉ","SABORES","VDM Oriente","ON PREMISE","CUSTOMIZADO",3.92178849201978
"113","JUGOS Y NÉCTARES","JUGOS Y NÉCTARES","VDM Oriente","ON PREMISE","CUSTOMIZADO",4.02936363534518
"114","NARANJADAS Y BEBIDAS","NARANJADAS Y BEBIDAS","VDM Oriente","ON PREMISE","ORO",0.251022491550848
"115","SABORES","AGUA SIN GAS","VDM Oriente","ON PREMISE","ORO",0.982598150210943
"116","AGUA SIN GAS","SABORES","VDM Oriente","ON PREMISE","ORO",0.982598150210943
"117","COLAS","SABORES","VDM Oriente","ON PREMISE","ORO",0.989396818005464
"118","COLAS","NARANJADAS Y BEBIDAS","VDM Oriente","ON PREMISE","ORO",1.01250343347124
"119","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Oriente","ON PREMISE","ORO",1.06359351972718
"120","SABORES","SABORES","VDM Oriente","ON PREMISE","ORO",1.0981514559095
"121","AGUA SIN GAS","COLAS","VDM Oriente","ON PREMISE","ORO",1.15571492464302
"122","COLAS","COLAS","VDM Oriente","ON PREMISE","ORO",1.24544409685602
"123","AGUA SIN GAS","AGUA SIN GAS","VDM Oriente","ON PREMISE","ORO",1.45298780796979
"124","SABORES","NARANJADAS Y BEBIDAS","VDM Oriente","ON PREMISE","ORO",1.55778860821043
"125","NARANJADAS Y BEBIDAS","SABORES","VDM Oriente","ON PREMISE","ORO",1.55778860821043
"126","COLAS","NARANJADAS Y BEBIDAS","VDM Oriente","ON PREMISE","PLATA",0.630081980648094
"127","COLAS","SABORES","VDM Oriente","ON PREMISE","PLATA",0.866770796106391
"128","AGUA CON GAS","COLAS","VDM Oriente","ON PREMISE","PLATA",1.01214031309654
"129","NARANJADAS Y BEBIDAS","AGUA SIN GAS","VDM Oriente","ON PREMISE","PLATA",1.02441983357103
"130","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Oriente","ON PREMISE","PLATA",1.02441983357103
"131","AGUA SIN GAS","SABORES","VDM Oriente","ON PREMISE","PLATA",1.07015269626161
"132","AGUA CON GAS","AGUA SIN GAS","VDM Oriente","ON PREMISE","PLATA",1.11598188211738
"133","AGUA SIN GAS","COLAS","VDM Oriente","ON PREMISE","PLATA",1.25508768697839
"134","COLAS","COLAS","VDM Oriente","ON PREMISE","PLATA",1.33768134956771
"135","SABORES","SABORES","VDM Oriente","ON PREMISE","PLATA",1.60135512431115
"136","AGUA CON GAS","SABORES","VDM Oriente","ON PREMISE","PLATA",1.95115454468417
"137","SABORES","AGUA CON GAS","VDM Oriente","ON PREMISE","PLATA",1.95115454468417
"138","NARANJADAS Y BEBIDAS","SABORES","VDM Oriente","ON PREMISE","PLATA",2.02192743088626
"139","AGUA CON GAS","NARANJADAS Y BEBIDAS","VDM Oriente","ON PREMISE","PLATA",2.1718337117891
"140","AGUA SIN GAS","AGUA SIN GAS","VDM Oriente","ON PREMISE","PLATA",2.19947460705862
"141","NARANJADAS Y BEBIDAS","NARANJADAS Y BEBIDAS","VDM Oriente","ON PREMISE","PLATA",3.82729087596744
"142","AGUA SIN GAS","JUGOS Y NÉCTARES","VDM Oriente","ON PREMISE","SIN ASIGNAR",0
"143","AGUA SIN GAS","SABORES","VDM Oriente","ON PREMISE","SIN ASIGNAR",0.4
"144","COLAS","SABORES","VDM Oriente","ON PREMISE","SIN ASIGNAR",0.755555555555556
"145","JUGOS Y NÉCTARES","SABORES","VDM Oriente","ON PREMISE","SIN ASIGNAR",0.933333333333333
"146","SABORES","SABORES","VDM Oriente","ON PREMISE","SIN ASIGNAR",1.1
"147","AGUA SIN GAS","COLAS","VDM Oriente","ON PREMISE","SIN ASIGNAR",1.33333333333333
"148","JUGOS Y NÉCTARES","JUGOS Y NÉCTARES","VDM Oriente","ON PREMISE","SIN ASIGNAR",2.66666666666667
"149","JUGOS Y NÉCTARES","LÁCTEOS","VDM Oriente","ON PREMISE","SIN ASIGNAR",3.33333333333333
"150","AGUA SIN GAS","JUGOS Y NÉCTARES","VDM Oriente","OTROS","BRONCE",0
"151","JUGOS Y NÉCTARES","SABORES","VDM Oriente","OTROS","BRONCE",0.714285714285714
"152","COLAS","JUGOS Y NÉCTARES","VDM Oriente","OTROS","BRONCE",0.9
"153","COLAS","COLAS","VDM Oriente","OTROS","BRONCE",1.07948051948052
"154","AGUA SIN GAS","COLAS","VDM Oriente","OTROS","BRONCE",1.1
"155","COLAS","SABORES","VDM Oriente","OTROS","BRONCE",1.11337868480726
"156","AGUA CON GAS","COLAS","VDM Oriente","OTROS","BRONCE",1.3
"157","AGUA CON GAS","SABORES","VDM Oriente","OTROS","BRONCE",1.78571428571429
"158","SABORES","AGUA CON GAS","VDM Oriente","OTROS","BRONCE",1.78571428571429
"159","SABORES","SABORES","VDM Oriente","OTROS","BRONCE",2.86904761904762
"160","AGUA CON GAS","AGUA SIN GAS","VDM Oriente","OTROS","BRONCE",4
"161","AGUA SIN GAS","SABORES","VDM Oriente","OTROS","BRONCE",4.6984126984127
