"","cat_a","cat_b","estado","canal","gec","lift"
"514","AGUA CON GAS","NARANJADAS Y BEBIDAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.22034315933355
"515","COLAS","COLAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.24054919978027
"516","AGUA CON GAS","AGUA SIN GAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.31799672011565
"517","AGUA CON GAS","COLAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.33345106528742
"518","AGUA SIN GAS","COLAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.39968663796832
"519","COLAS","SABORES","VDM Poniente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.61201751227343
"520","AGUA CON GAS","SABORES","VDM Poniente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.90064027663427
"521","AGUA SIN GAS","SABORES","VDM Poniente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",2.01814916815739
"522","AGUA CON GAS","AGUA CON GAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",2.12206880379607
"523","AGUA SIN GAS","AGUA SIN GAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",2.16022970091872
"524","SABORES","SABORES","VDM Poniente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",2.22506875576112
"525","COLAS","COLAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","ORO",1.00517034896516
"526","COLAS","NARANJADAS Y BEBIDAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","ORO",1.02622142821823
"527","AGUA SIN GAS","COLAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","ORO",1.03042419033274
"528","COLAS","AGUA SIN GAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","ORO",1.03042419033274
"529","COLAS","SABORES","VDM Poniente","PUNTO DE VENTA TRADICIONAL","ORO",1.03642659723399
"530","NARANJADAS Y BEBIDAS","AGUA SIN GAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","ORO",1.04793038026923
"531","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","ORO",1.04793038026923
"532","NARANJADAS Y BEBIDAS","SABORES","VDM Poniente","PUNTO DE VENTA TRADICIONAL","ORO",1.0494876879161
"533","AGUA SIN GAS","SABORES","VDM Poniente","PUNTO DE VENTA TRADICIONAL","ORO",1.05722158902855
"534","SABORES","SABORES","VDM Poniente","PUNTO DE VENTA TRADICIONAL","ORO",1.058335697287
"535","NARANJADAS Y BEBIDAS","NARANJADAS Y BEBIDAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","ORO",1.08865482286987
"536","AGUA SIN GAS","AGUA SIN GAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","ORO",1.28090260403978
"537","COLAS","COLAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","PLATA",1.02538436945062
"538","AGUA SIN GAS","COLAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","PLATA",1.1102730744224
"539","COLAS","NARANJADAS Y BEBIDAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","PLATA",1.11527773889451
"540","COLAS","SABORES","VDM Poniente","PUNTO DE VENTA TRADICIONAL","PLATA",1.11881340219975
"541","NARANJADAS Y BEBIDAS","AGUA SIN GAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","PLATA",1.2350396698265
"542","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","PLATA",1.2350396698265
"543","NARANJADAS Y BEBIDAS","SABORES","VDM Poniente","PUNTO DE VENTA TRADICIONAL","PLATA",1.25654647604851
"544","AGUA SIN GAS","SABORES","VDM Poniente","PUNTO DE VENTA TRADICIONAL","PLATA",1.26408485856439
"545","SABORES","SABORES","VDM Poniente","PUNTO DE VENTA TRADICIONAL","PLATA",1.2670543287269
"546","NARANJADAS Y BEBIDAS","NARANJADAS Y BEBIDAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","PLATA",1.31283479008819
"547","AGUA SIN GAS","AGUA SIN GAS","VDM Poniente","PUNTO DE VENTA TRADICIONAL","PLATA",1.7706520668295
